,acne,eczema,normal,psoriasis,ringworm
EfficientNet-B3,0.8961303462321792,0.7083333333333334,0.5666666666666667,0.42424242424242425,0.6111111111111112
MobileNetV2,0.8964059196617337,0.7391304347826086,0.5063291139240507,0.5714285714285714,0.676056338028169
ResNet18,0.8152173913043478,0.43902439024390244,0.4090909090909091,0.0,0.0
DenseNet121,0.8369351669941061,0.2564102564102564,0.43333333333333335,0.2222222222222222,0.36666666666666664
ResNet50,0.8662420382165605,0.5538461538461539,0.3508771929824561,0.48,0.5573770491803278
