Model,Macro F1,Weighted F1
EfficientNet-B3,0.03411139518864848,0.13938561172035324
MobileNetV2,0.03325240711205623,0.16045905672145183
ResNet18,0.02321163124412596,0.11780659861377658
DenseNet121,0.027548238388946357,0.13499357795240827
ResNet50,0.029815550828481863,0.1457260880049486
