Model,Macro F1,Weighted F1
EfficientNet-B3,0.641296776317143,0.7885310459132149
MobileNetV2,0.6778700755650267,0.803541345569932
ResNet18,0.33266653812783187,0.6010328250571851
DenseNet121,0.4231135291253169,0.6632829923841712
ResNet50,0.5616684868450997,0.7369437969580307
